Prefix,Vessel Name,Engine serial no,Engine Brand,Engine model,Status,Compatible,Non Conclusive Follow Up,Engine shaft power,Engine Type,Engine Mounting,Engine Fuel Used,GT,Length,Breadth,Depth,Dead Weight,Year Built,Owner Name
SC,AKM 1,12PC1-917842,ISUZU,NA,NA,No Data Available,Not Conclusive,250.0, ,Inboard,Diesel,38,15.3,4.3,2.0,NA,2011.0,ANG KOK MENG LAUNCH SERVICE PTE LTD
SC,AKM 2,1422D013656,WEI CHAI,WP12C450-21,Up to B30,Compatible with B30,NA,330.0, ,Inboard,Diesel,35,15.3,4.0,2.0,NA,2013.0,ANG KOK MENG LAUNCH SERVICE PTE LTD
SC,AKM 3,148695,ISUZU,NA,NA,No Data Available,Not Conclusive,250.0, ,Inboard,Diesel,33,14.5,4.0,2.0,NA,2014.0,ANG KOK MENG LAUNCH SERVICE PTE LTD
SC,AKM 5,781098,ISUZU,12PD1,NA,No Data Available,Not Conclusive,250.0,Motor,Inboard,Diesel,33,14.5,4.0,2.0,NA,2014.0,ANG KOK MENG LAUNCH SERVICE PTE LTD
SC,AKM 6,918424,ISUZU,NA,NA,No Data Available,Not Conclusive,250.0,Motor,Inboard,Diesel,33,14.5,4.0,2.0,NA,2015.0,ANG KOK MENG LAUNCH SERVICE PTE LTD
SC,AKM 7,779448,ISUZU,NA,NA,No Data Available,Not Conclusive,250.0,Motor,Inboard,Diesel,27,14.5,4.0,1.6,NA,2015.0,ANG KOK MENG LAUNCH SERVICE PTE LTD
SC,AKM 8,1500081,ISUZU,NA,NA,No Data Available,Not Conclusive,180.0,Motor,Inboard,Diesel,35,16.8,4.0,1.8,NA,2017.0,ANG KIAN SENG
SB,ALLI,1532,AKASAKA,NA,NA,No Data Available,Not Conclusive,2206.0,Motor,Inboard,Diesel,2630,86.5,14.0,7.2,3331.0,2008.0,ALLI SIRIUS TANKERS PTE LTD
SB,ALPHA,41102988,CUMMINS,NA,Up to B20,Compatible with B20,NA,814.0, ,Inboard,Diesel,1971,77.8,15.0,6.1,2997.0,2008.0,UNILINE TANKERS PTE LTD
ST,ALPHA JUPITER,60M06004,CATERPILLAR,NA,"Up to B100, dealer consultation required",Compatible with B100,NA,500.0,Motor,Inboard,Diesel,174,23.4,8.0,3.9,NA,1996.0,QSA MARINE AND LOGISTICS PTE LTD
SP,AMEROID,73002220,CUMMINS,NA,Up to B20,Compatible with B20,NA,321.0, ,Inboard,Diesel,14,12.2,3.9,1.0,NA,2001.0,DREW AMEROID (S) PTE LTD
SR,AMH 36 05,NA,NA,NA,NA,No Data Available,Not Conclusive,NA,NA,NA,NA,1438,67.3,19.5,4.3,NA,2006.0,ASL OFFSHORE &AMP;AMP; MARINE PTE LTD
SR,AMH 4504,NA,NA,NA,NA,No Data Available,Not Conclusive,NA,NA,NA,NA,1742,73.1,20.7,4.5,NA,2006.0,ASL OFFSHORE &AMP;AMP; MARINE PTE LTD
SR,ANAK LAUT III,116127,HINO,NA,NA,No Data Available,Not Conclusive,186.0, ,Inboard,Diesel,19,13.4,3.3,1.5,NA,1997.0,ISMAIL TAN ABDULLAH
NA,ANAK SERAYA,ILLEGIBLE,HINO,CY 360M,NA,No Data Available,Not Conclusive,260.0,Motor,Inboard,Diesel,37,15.0,4.3,2.0,NA,2006.0,APEX UNDERWATER SERVICES PTE LTD
NA,ANTARA KOH 118,NA,NA,NA,NA,No Data Available,Not Conclusive,NA,NA,NA,NA,260,35.1,12.1,2.4,NA,2006.0,ANTARA KOH PTE LTD
NA,ANTARA KOH 138,NA,NA,NA,NA,No Data Available,Not Conclusive,NA,NA,NA,NA,260,35.1,12.2,2.4,NA,2007.0,ANTARA KOH PTE LTD
NA,ANTARA KOH 18,NA,NA,NA,NA,No Data Available,Not Conclusive,NA,NA,NA,NA,927,52.7,18.3,3.7,NA,2001.0,ANTARA KOH PTE LTD
