Prefix,Vessel Name,Engine serial no,Engine Brand,Engine model,Status,Compatible,Non Conclusive Follow Up,Engine shaft power,Engine Type,Engine Mounting,Engine Fuel Used,GT,Length,Breadth,Depth,Dead Weight,Year Built,Owner Name
ST,SSE LUCY,P75Z01722,CATERPILLAR,unknown,Up to B100. Dealer consultation required,Compatible with B100,unknown,240, ,Inboard,Diesel,50,15.7,5.6,2.8,,1984,SINGAPORE SALVAGE ENGINEERS PL
unknown,SSE MACARENA,23157107,CUMMINS,unknown,Up to B20,Compatible with B20,unknown,186, ,Inboard,Diesel,24,13.9,5.1,1.2,,1998,SINGAPORE SALVAGE ENGINEERS PL
SR,SSE MARELLA,10884745,CUMMINS,unknown,Up to B20,Compatible with B20,unknown,260,Motor,Inboard,Diesel,34,12.3,5.1,1.9,,2017,SINGAPORE SALVAGE ENGINEERS PL
SR,SSE MERLYN,11900498,CUMMINS,unknown,Up to B20,Compatible with B20,unknown,261,Motor,Inboard,Diesel,74,19.5,5.8,2.3,,2014,SINGAPORE SALVAGE ENGINEERS PL
unknown,SSE MOANA,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,110,15.5,12.5,2,,2019,SINGAPORE SALVAGE ENGINEERS PL
unknown,SSE MONALISA,P:11938,YANMAR,unknown,Up to B100. Without modification,Compatible with B100,unknown,237, ,Inboard,Diesel,36,12.6,5,2,,1983,SINGAPORE SALVAGE ENGINEERS PL
ST,SSE NATALIE,3581806,CATERPILLAR,unknown,Up to B100. Dealer consultation required,Compatible with B100,unknown,932,Motor,Inboard,Diesel,212,28,8.1,4,,2006,SINGAPORE SALVAGE ENGINEERS PL
unknown,SSE NIKITA,21274,MITSUBISHI,unknown,Up to B30,Compatible with B30,unknown,1204, ,Inboard,Diesel,197,24,8.3,3.6,,2001,SINGAPORE SALVAGE ENGINEERS PL
ST,SSE OLGA,3023,YANMAR,unknown,Up to B100. Without modification,Compatible with B100,unknown,610, ,Inboard,Diesel,195,25.4,8,3.6,,2012,SINGAPORE SALVAGE ENGINEERS PL
ST,SSE OLIVIA,P:41056324,CUMMINS,unknown,Up to B20,Compatible with B20,unknown,298, ,Inboard,Diesel,73,17,5.8,3,,2003,SINGAPORE SALVAGE ENGINEERS PL
SR,SSE PATRICIA,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,142,30,13.9,1.2,,2002,SINGAPORE SALVAGE ENGINEERS PL
unknown,SSE QISTINA,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,902,52.7,18.3,3.7,,2007,SINGAPORE SALVAGE ENGINEERS PL
ST,SSE RACHEL,33835,HINO,unknown,unknown,No Data Available,Not Conclusive,208,Motor,Inboard,Diesel,14,9.1,3,1.8,,1975,SINGAPORE SALVAGE ENGINEERS PL
ST,SSE RONELLE,P41044662,CUMMINS,KTA 19-M500,Up to B20,Compatible with B20,unknown,373, ,Inboard,Diesel,107,19.8,6.8,3.4,,2000,SINGAPORE SALVAGE ENGINEERS PL
unknown,SSE RUI,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,2474,77.1,25,4.5,,2013,SINGAPORE SALVAGE ENGINEERS PL
SR,SSE SENTOSA,unknown,unknown,unknown,unknown,No Data Available,Not Conclusive,,,,,30,15.3,5.8,1.2,,2013,SINGAPORE SALVAGE ENGINEERS PL
unknown,SSE VALENCIA,P:60M02230,CATERPILLAR,unknown,Up to B100. Dealer consultation required,Compatible with B100,unknown,465, ,Inboard,Diesel,339,43,9,3.1,,1983,SINGAPORE SALVAGE ENGINEERS PL
ST,ST 0016D,30119061,CUMMINS,unknown,Up to B20,Compatible with B20,unknown,179, ,Inboard,Diesel,24,13.7,3.6,1.7,,1974,KEE MARINE PTE LTD
ST,ST 0021J,18109332,CUMMINS,unknown,Up to B20,Compatible with B20,unknown,179, ,Inboard,Diesel,24,14.3,3.7,1.6,,1972,NEW WEST COAST PTE LTD
ST,ST 0118G,22543,CUMMINS,unknown,Up to B20,Compatible with B20,unknown,201, ,Inboard,Diesel,18,11.8,3.6,1.5,,1973,CHONG TONG MARINE PTE LTD
ST,ST 0246I,10854223,CUMMINS,unknown,Up to B20,Compatible with B20,unknown,201, ,Inboard,Diesel,14,14.2,3.5,1,,1972,WAN SOON TUGBOAT SERVICES PTE LTD
