Prefix,Vessel Name,Engine serial no,Engine Brand,Engine model,Status,Non Conclusive Follow Up,Engine shaft power,Engine Type,Engine Mounting,Engine Fuel Used,GT,Length,Breadth,Depth,Dead Weight,Year Built,Owner Name
SC,ENG TOU 243,,,,,Not Conclusive,,,,,564,43.8,15.2,3,,1997,HIAP SHING SHIPPING PTE LTD
SR,ENG TOU 246,,,,,Not Conclusive,,,,,303,35.2,12.2,2.5,,1997,HIAP SHING SHIPPING PTE LTD
SC,ENG TOU 250,,,,,Not Conclusive,,,,,706,52.7,15.3,3.1,,1997,HIAP SHING SHIPPING PTE LTD
SR,ENG TOU 252,,,,,Not Conclusive,,,,,303,35.2,12.2,2.5,,1998,HIAP SHING SHIPPING PTE LTD
SR,ENG TOU 254,,,,,Not Conclusive,,,,,74,18.3,7.9,1.8,,2000,HIAP SHING SHIPPING PTE LTD
SC,ENG TOU 255,,,,,Not Conclusive,,,,,1008,52.7,18.3,3.7,,2005,HIAP SHING SHIPPING PTE LTD
SR,ENG TOU 257,,,,,Not Conclusive,,,,,303,35.2,12.2,2.5,,2006,HIAP SHING SHIPPING PTE LTD
SC,ENG TOU 258,,,,,Not Conclusive,,,,,260,35.2,12.2,2.5,,2006,HIAP SHING SHIPPING PTE LTD
SR,ENG TOU 259,,,,,Not Conclusive,,,,,303,35.2,12.2,2.5,,2006,HIAP SHING SHIPPING PTE LTD
SC,ENG TOU 260,,,,,Not Conclusive,,,,,588,43.9,15.3,3.1,,2006,HIAP SHING SHIPPING PTE LTD
SR,ENG TOU 261,,,,,Not Conclusive,,,,,303,35.2,12.2,2.5,,2006,HIAP SHING SHIPPING PTE LTD
SR,ENG TOU 262,,,,,Not Conclusive,,,,,260,35.2,12.2,2.5,,2007,HIAP SHING SHIPPING PTE LTD
SR,ENG TOU 263,,,,,Not Conclusive,,,,,264,35.2,12.2,2.5,,2007,HIAP SHING SHIPPING PTE LTD
SC,ENG TOU 264,,,,,Not Conclusive,,,,,1008,52.7,18.3,3.7,,2007,HIAP SHING SHIPPING PTE LTD
SR,ENG TOU 265,,,,,Not Conclusive,,,,,588,43.9,15.3,3.1,,2007,HIAP SHING SHIPPING PTE LTD
SC,ENG TOU 267,,,,,Not Conclusive,,,,,522,43.9,15.3,3.1,,2008,HIAP SHING SHIPPING PTE LTD
SR,ENG TOU 268,,,,,Not Conclusive,,,,,522,43.9,15.3,3.1,,2008,HIAP SHING SHIPPING PTE LTD
SR,ENG TOU 269,,,,,Not Conclusive,,,,,522,43.9,15.3,3.1,,2008,HIAP SHING SHIPPING PTE LTD
SC,ENG TOU 270,,,,,Not Conclusive,,,,,260,35.2,12.2,2.5,,2008,HIAP SHING SHIPPING PTE LTD
SC,ENG TOU 271,,,,,Not Conclusive,,,,,843,52.7,15.3,3.7,,2008,HIAP SHING SHIPPING PTE LTD
SR,ENG TOU 272,,,,,Not Conclusive,,,,,843,52.7,15.3,3.7,,2008,HIAP SHING SHIPPING PTE LTD
SR,ENG TOU 273,,,,,Not Conclusive,,,,,774,52.7,15.3,3.7,,2009,HIAP SHING SHIPPING PTE LTD
SR,ENG TOU 274,,,,,Not Conclusive,,,,,774,52.6,15.2,3.6,,2009,HIAP SHING SHIPPING PTE LTD
SR,ENG TOU 275,,,,,Not Conclusive,,,,,774,52.7,15.3,3.7,,2009,HIAP SHING SHIPPING PTE LTD
SR,ENG TOU 276,,,,,Not Conclusive,,,,,774,52.7,15.3,3.7,,2009,HIAP SHING SHIPPING PTE LTD
SR,ENG TOU 277,,,,,Not Conclusive,,,,,902,52.6,18.2,3.6,,2009,HIAP SHING SHIPPING PTE LTD
SR,ENG TOU 278,,,,,Not Conclusive,,,,,902,52.7,18.3,3.7,,2009,HIAP SHING SHIPPING PTE LTD
SR,ENG TOU 279,,,,,Not Conclusive,,,,,902,52.6,18.2,3.6,,2010,HIAP SHING SHIPPING PTE LTD
SR,ENG TOU 280,,,,,Not Conclusive,,,,,921,52.5,18.3,3.7,,2014,HIAP SHING SHIPPING PTE LTD
SR,ENG TOU 281,,,,,Not Conclusive,,,,,921,52.5,18.3,3.7,,2014,HIAP SHING SHIPPING PTE LTD
SR,ENG TOU 282,,,,,Not Conclusive,,,,,258,35.2,12.2,2.5,,2015,HIAP SHING SHIPPING PTE LTD
SR,ENG TOU 283,,,,,Not Conclusive,,,,,258,35.2,12.2,2.5,,2015,HIAP SHING SHIPPING PTE LTD
SR,ENG TOU 284,,,,,Not Conclusive,,,,,258,35.2,12.2,2.5,,2016,HIAP SHING SHIPPING PTE LTD
SR,ENG TOU 285,,,,,Not Conclusive,,,,,258,35.2,12.2,2.5,,2017,HIAP SHING SHIPPING PTE LTD
SR,ENG TOU 286,,,,,Not Conclusive,,,,,118,29.3,9.2,1.9,,2018,HIAP SHING SHIPPING PTE LTD
SR,ENG TOU 287,,,,,Not Conclusive,,,,,118,29.3,9.2,1.9,,2018,HIAP SHING SHIPPING PTE LTD
SR,ENG TOU 288,,,,,Not Conclusive,,,,,941,52.7,18.3,3.7,,2018,HIAP SHING SHIPPING PTE LTD
,ENG TOU 289,,,,,Not Conclusive,,,,,941,52.7,18.3,3.7,,2019,HIAP SHING SHIPPING PTE LTD
,ENG TOU 290,,,,,Not Conclusive,,,,,258,35.2,12.2,2.5,,2019,HIAP SHING SHIPPING PTE LTD
SR,ENGCO 9,217511,MITSUBISHI,,Up to B30,,180, ,Inboard,Diesel,19,14.2,3.4,1.4,,1998,ENGCO MARINE SERVICES PTE LTD
SB,ENLIVEN,DE318Z0120,DAIHATSU,6DE-18,"Up to B20. <B20 to B30, Consult OEM",,625,Motor,Inboard,Gas Oil,1074,57.5,11.8,5.2,1113,2012,ISHIPS MGMT PTE LTD
SB,ENTHRAL,DE618Z0122,DAIHATSU,,"Up to B20. <B20 to B30, Consult OEM",,600, ,Inboard,Diesel,1074,57.5,11.8,5.2,1090,2012,HONG LAM MARINE PTE LTD
ST,ENV 1,P:FTN0646,YANMAR,,"Up to B100, without modification",,895, ,Inboard,Diesel,342,28,9.6,4.5,,1998,NATIONAL ENVIRONMENT AGENCY
ST,ENV 2,P:FTN0647,YANMAR,,"Up to B100, without modification",,895, ,Inboard,Diesel,342,28,9.6,4.5,,1998,NATIONAL ENVIRONMENT AGENCY
ST,ENV 3,P:FTH0655,YANMAR,,"Up to B100, without modification",,895,Motor,Inboard,Diesel,342,28,9.6,4.5,,1998,NATIONAL ENVIRONMENT AGENCY
SC,ENV 4,,,,,Not Conclusive,,,,,2058,85.5,15.5,5.5,,1998,NATIONAL ENVIRONMENT AGENCY
SC,ENV 5,,,,,Not Conclusive,,,,,2058,85.5,15.5,5.5,,1998,NATIONAL ENVIRONMENT AGENCY
SC,ENV 6,,,,,Not Conclusive,,,,,2058,85.5,15.5,5.5,,1998,NATIONAL ENVIRONMENT AGENCY
SC,ENV 7,,,,,Not Conclusive,,,,,2058,85.5,15.5,5.5,,1998,NATIONAL ENVIRONMENT AGENCY
SC,ENV 8,,,,,Not Conclusive,,,,,2058,85.5,15.5,5.5,,1998,NATIONAL ENVIRONMENT AGENCY
SC,ENV 9,,,,,Not Conclusive,,,,,2058,85.5,15.5,5.5,,1998,NATIONAL ENVIRONMENT AGENCY
SB,EPITOME,DE623Z0764,DAIHATSU,6DEM-23,"Up to B20. <B20 to B30, Consult OEM",,1235,Motor,Inboard,Diesel,6113,108.5,19,10,8628,2020,HONG LAM MARINE PTE LTD
SB,EQUALITY,P:2173,YANMAR,6AY,"Up to B100, without modification",,485, ,Inboard,Diesel,662,43.1,12,4.7,790,2012,SINO TANKERS PTE LTD
,ESSENCE,DE623Z0769,DAIHATSU,6DEM-23,"Up to B20. <B20 to B30, Consult OEM",,1235,Motor,Inboard,Diesel,6113,108.5,19,10,8613,2020,HONG LAM MARINE PTE LTD
SB,ESTEEM,P:41162856,CUMMINS,KT,Up to B20,,447, ,Inboard,Diesel,960,50.7,12,5.2,1300,2010,UNITED TANKERS PTE LTD
,ET 44,822462,MITSUBISHI,,Up to B30,,168, ,Inboard,Diesel,22,13.3,3.4,1.7,,2000,EXPERTISE TECHNOLOGIES PTE LTD
,ETHAN,,,,,Not Conclusive,,,,,1645,67.3,19.6,4.9,,2008,QSA MARINE AND LOGISTICS PTE LTD
SB,EVER BEST,41194967,CUMMINS,,Up to B20,,298, ,Inboard,Diesel,498,42.7,10.2,4.3,800,2013,GEWINNER MARINE PTE LTD
SB,EVER BRAVE,41217508,CUMMINS,,Up to B20,,447,Motor,Inboard,Diesel,498,42.7,10.2,4.3,820,2014,GEWINNER MARINE PTE LTD
SB,EVER BRIGHT,41207048,CUMMINS,,Up to B20,,447,Motor,Inboard,Diesel,498,42.7,10.2,4.3,800,2014,GEWINNER MARINE PTE LTD
SB,EVER JOYCE,P 30306641,CUMMINS,,Up to B20,,179, ,Inboard,Diesel,148,30.5,6.8,2.4,160,1987,EVERGREEN PETROLEUM PTE LTD
SB,EVERMORE,2272,YANMAR,6AY,"Up to B100, without modification",,485, ,Inboard,Diesel,662,43.1,12,4.7,801,2012,SINO SHIPS PTE LTD
SC,EWAN SPIRIT,,,,,Not Conclusive,,,,,1484,70.3,19.6,4.3,,2014,EWAN MARINE PTE LTD
,FEI YING,A15550,HINO,,,Not Conclusive,185,Motor,Inboard,Diesel,45,18,4.4,2,1034,1988,CHONG HAN MARINE SERVICES
SB,FELLOWSHIP,AQ6K260023,DAIHATSU,,"Up to B20. <B20 to B30, Consult OEM",,1471, ,Inboard,Diesel,4081,95.3,18,8.8,7000,2006,UNITED MARITIME PTE LTD
SR,FELS 11,,,,,Not Conclusive,,,,,2522,74.7,24.4,4.9,,1990,SEATRIUM NEW ENERGY LIMITED
,FELS 12,,,,,Not Conclusive,,,,,121,25.9,9.2,1.8,,1990,CHG MARINE SERVICES PTE LTD
SR,FELS 13,,,,,Not Conclusive,,,,,647,46.9,15.3,3.7,,1991,SEATRIUM NEW ENERGY LIMITED
SC,FELS 20,,,,,Not Conclusive,,,,,4566,96.7,29.2,5.9,,1996,SEATRIUM NEW ENERGY LIMITED
SC,FELS 21,,,,,Not Conclusive,,,,,4703,96.7,29.2,5.9,,1996,KEPPEL SHIPYARD LIMITED
SR,FELS 22,,,,,Not Conclusive,,,,,143,29.3,9.1,1.9,,1994,CHG MARINE SERVICES PTE LTD
SR,FELS 25,,,,,Not Conclusive,,,,,288,35.1,12.1,2.4,,2008,SEATRIUM NEW ENERGY LIMITED
SR,FELS 26,,,,,Not Conclusive,,,,,288,35.1,12.1,2.4,,2008,SEATRIUM NEW ENERGY LIMITED
SR,FELS 27,,,,,Not Conclusive,,,,,288,35.1,12.1,2.4,,2008,SEATRIUM NEW ENERGY LIMITED
SR,FELS CAN DO,,,,,Not Conclusive,,,,,30807,132.6,78,9,,2009,SEATRIUM NEW ENERGY LIMITED
SR,FELS CAN DO II,,,,,Not Conclusive,,,,,93041,220.8,79,15,,2017,SEATRIUM NEW ENERGY LIMITED
ST,FELS SATU,23169953,CUMMINS,NTC290,Up to B20,,300, ,Inboard,Diesel,28,13.4,4,1.8,,1982,IYOR JUI KIANG
SB,FERESA,P:25373237,CUMMINS,KT,Up to B20,,746, ,Inboard,Diesel,1274,62.8,13.5,5,1866,2011,CATHAY MARINE FUEL OIL TRG P LTD
SR,FIRST AND FOREMOST,2300051112,VOLVO,,Up to B30,,22, ,Inboard,Diesel,5,6.5,2.4,1,,1991,SINGAPORE POLYTECHNIC
,FISH STALKER II,10843648,CUMMINS,NT,Up to B20,,300,Motor,Inboard,Diesel,21,14.5,4,2,,2016,ZHANG JIAYUN JACQUELINE
SC,FISHSTALKER,YC6MK320C,YUCHAI,,,Not Conclusive,258, ,Inboard,Diesel,29,15,3.8,1.8,,2009,TEO KIAN PENG
SB,FLAGSHIP,AQ6K260032,DAIHATSU,,"Up to B20. <B20 to B30, Consult OEM",,1471, ,Inboard,Diesel,4116,95.3,18,8.8,7000,2007,UNITED MARITIME PTE LTD
SC,FLYING CLOUD,266910,MITSUBISHI,,Up to B30,,180, ,Inboard,Diesel,26,13.5,3.8,1.8,,2010,ENG MOTOR LAUNCH SERVICE
SC,FLYING FOX,415200,MITSUBISHI,,Up to B30,,260, ,Inboard,Diesel,28,14.5,3.8,1.8,,2007,ENG MOTOR LAUNCH SERVICE
,FOKU II,,,,,Not Conclusive,,,,,661,52,15,3,,1993,CATERMAS ENGINEERING PTE LTD
SB,FORCE,1314D000549,WEI CHAI,WD618,Up to B30,,258,Motor,Inboard,Diesel,146,28.8,6.5,2.8,239,2014,COTEAM MARINE PTE LTD
SR,FR 10,1109,YAMAHA,,,Not Conclusive,30,Motor,Inboard,Diesel,4,5.4,2.8,0.8,,2003,TIAN SAN SHIPPING PTE LTD
SR,FR 11,21927808,CUMMINS,,Up to B20,,195, ,Inboard,Diesel,43,17.2,6,2.6,,2009,TIAN SAN SHIPPING PTE LTD
SR,FR 12,7GS6140,BETA,,,Not Conclusive,37,Motor,Inboard,Diesel,4,5.5,2.9,0.9,,2017,TIAN SAN SHIPPING PTE LTD
SR,FR 21,"26,342,633",YANMAR,6HA2M-WDT,"Up to B100, without modification",,596,Motor,Inboard,Diesel,48,18,6,2.6,,2020,TIAN SAN SHIPPING PTE LTD
,FR 22,"26,352,636",YANMAR,6HA2M-WDT,"Up to B100, without modification",,596,Motor,Inboard,Diesel,48,18,6,2.6,,2020,TIAN SAN SHIPPING PTE LTD
SR,FR 23,499811,ISUZU,,,Not Conclusive,49,Motor,Inboard,Diesel,4,6.2,2.5,0.9,,2020,TIAN SAN SHIPPING PTE LTD
SR,FR 24,499813,ISUZU,,,Not Conclusive,49,Motor,Inboard,Diesel,4,6.2,2.5,0.9,,2020,TIAN SAN SHIPPING PTE LTD
SR,FR 25,601632,ISUZU,UMA JBI,,Not Conclusive,49,Motor,Inboard,Diesel,4,6.2,2.5,0.9,,2020,TIAN SAN SHIPPING PTE LTD
SR,FR 26,601633,ISUZU,UM4JB1,,Not Conclusive,49,Motor,Inboard,Diesel,4,6.2,2.5,0.9,,2020,TIAN SAN SHIPPING PTE LTD
SR,FR 27,602949,ISUZU,UM4JB1,,Not Conclusive,49,Motor,Inboard,Diesel,4,6.2,2.5,0.9,,2020,TIAN SAN SHIPPING PTE LTD
SR,FR 28,603279,ISUZU,UM4JB1,,Not Conclusive,49,Motor,Inboard,Diesel,4,6.2,2.5,0.9,,2020,TIAN SAN SHIPPING PTE LTD
SR,FR 29,602948,ISUZU,UM4JB1,,Not Conclusive,49,Motor,Inboard,Diesel,4,6.2,2.5,0.9,,2020,TIAN SAN SHIPPING PTE LTD
SR,FR 3,108,YAMAHA,,,Not Conclusive,30,Motor,Inboard,Diesel,4,5.5,2.7,0.8,,1999,TIAN SAN SHIPPING PTE LTD
SR,FR 4,1102,YAMAHA,,,Not Conclusive,30,Motor,Inboard,Diesel,4,5.3,2.7,0.8,,1999,TIAN SAN SHIPPING PTE LTD
SR,FR 5,1101,YAMAHA,,,Not Conclusive,30,Motor,Inboard,Diesel,4,5.5,2.7,0.8,,1999,TIAN SAN SHIPPING PTE LTD
SR,FR 8,P:01Z33316,CATERPILLAR,,"Up to B100, dealer consultation required",,175, ,Inboard,Diesel,43,16,6,2.6,,1999,TIAN SAN SHIPPING PTE LTD
SR,FR 9,P:01Z33309,CATERPILLAR,,"Up to B100, dealer consultation required",,175, ,Inboard,Diesel,43,16,6,2.6,,1999,TIAN SAN SHIPPING PTE LTD
,FRANCISCO BAY 1801,,,,,Not Conclusive,,,,,865,52.6,18.3,3.6,,2012,KIM HOCK BEE MARINE PTE LTD
SR,FRANKLIN 10,,,,,Not Conclusive,,,,,303,35.2,12.2,2.5,,2005,FRANKLIN OFFSHORE INTL PTE LTD
SR,FRANKLIN 11,,,,,Not Conclusive,,,,,1602,67.3,19.6,4.3,,2005,FRANKLIN OFFSHORE INTL PTE LTD
SR,FRANKLIN 2001,,,,,Not Conclusive,,,,,823,57.6,15,3.6,,2008,FRANKLIN OFFSHORE INTL PTE LTD
SC,FRANKLIN 2501,,,,,Not Conclusive,,,,,2167,73.2,21.4,4.9,,2006,FRANKLIN OFFSHORE INTL PTE LTD
SC,FRANKLIN 3302,,,,,Not Conclusive,,,,,4370,97,27.4,6.1,,2007,FRANKLIN OFFSHORE INTL PTE LTD
SC,FREEDOM,399309,MITSUBISHI,8DC-11,Up to B30,,264, ,Inboard,Diesel,20,12.8,3.6,1.5,,2009,STRAITS BUNKERING PTE LTD
SB,FRONTEK,111K001346,WEI CHAI,CW,Up to B30,,540, ,Inboard,Diesel,1589,63.3,12.8,6.5,2141,2011,SINGFAR TANKER PTE LTD
SB,FUELNG BELLINA,XAAB432318,WARTSILA,8L20DF,Compatible to BXX when BXX meets Wartsila biofuel specs B100,,1480, ,Inboard,LNG,8391,114.8,19.5,9.5,1,2019,FUELNG PTE LTD
,FUELNG VENOSA,KBA007655-1,HYUNDAI,HiMSEN,,Not Conclusive,2700,Dual fuel,Inboard,LNG + MGO,18723,157.5,24.4,12.9,12247,2022,VENOSA MARITIME PTE LTD
SC,FUJI II,842018536,CATERPILLAR,3208,"Up to B100, dealer consultation required",,220, ,Inboard,Diesel,65,22,8,2.6,,1988,R W MARINE SERVICES PTE LTD
,FUNDY BAY 1504,,,,,Not Conclusive,,,,,525,43,15.2,3,,2016,KIM HOCK BEE MARINE PTE LTD
SC,GAC PANTHER,519223,MITSUBISHI,8DC9,Up to B30,,260, ,Inboard,Diesel,24,12,3.9,1.8,,2001,ENG MOTOR LAUNCH SERVICE
SC,GAC TIGER II,803486,MITSUBISHI,,Up to B30,,150,Motor,Inboard,Diesel,20,12.2,3.6,1.6,,2007,ENG MOTOR LAUNCH SERVICE
SR,GALAXEA,74621275,CUMMINS,,Up to B20,,283, ,Inboard,Diesel,21,12,4.1,1.5,,2009,NATIONAL UNIVERSITY OF SINGAPORE
SC,GALAXY,897922,MITSUBISHI,,Up to B30,,0,Motor,Inboard,Diesel,28,17,4.3,2.2,,2012,SG SHIPPING PTE LTD
SC,GALAXY 5,41216707,CUMMINS,,Up to B20,,298,Motor,Inboard,Diesel,43,17,4.8,2.3,,2015,GEWINNER LOGISTICS PTE LTD
,GALAXY 7,1423D032546,WEI CHAI,,Up to B30,,330,Motor,Inboard,Diesel,34,15,4.8,2.2,,2023,GEWINNER LOGISTICS PTE LTD
SB,GARENE I,41189148,CUMMINS,,Up to B20,,373,Motor,Inboard,Diesel,99,19.2,6.5,3,129,2013,CNC PETROLEUM PTE LTD
SB,GARENE II,41203619,CUMMINS,,Up to B20,,373,Motor,Inboard,Diesel,99,19.2,6.5,3,60,2013,CNC PETROLEUM PTE LTD
,GARUDA SEJATI,2,MITSUBISHI,S6A3-MPTK,Up to B30,,447,Motor,Inboard,Diesel,158,22.5,7.3,3.5,,2012,KIM HOCK BEE MARINE PTE LTD
SR,GC 21,"26,142,613",YANMAR,6HA2M-WDT,"Up to B100, without modification",,596,Motor,Inboard,Diesel,75,19.2,5.6,2.4,,2020,TIAN SAN SHIPPING PTE LTD
SR,GC 22,"2630, 2629",YANMAR,6HA2M-WDT,"Up to B100, without modification",,596,Motor,Inboard,Diesel,75,19.2,5.6,2.4,,2020,TIAN SAN SHIPPING PTE LTD
SR,GC 23,"26,162,615",YANMAR,6HA2M-WDT,"Up to B100, without modification",,596,Motor,Inboard,Diesel,75,19.2,5.6,2.4,,2020,TIAN SAN SHIPPING PTE LTD
SR,GC 24,"2632, 2631",YANMAR,6HA2M-WDT,"Up to B100, without modification",,596,Motor,Inboard,Diesel,75,19.2,5.6,2.4,,2020,TIAN SAN SHIPPING PTE LTD
SR,GC 25,"26,182,617",YANMAR,6HA2M-WDT,"Up to B100, without modification",,596,Motor,Inboard,Diesel,75,19.2,5.6,2.4,,2020,TIAN SAN SHIPPING PTE LTD
SR,GC 7,P:4TB09401,CATERPILLAR,,"Up to B100, dealer consultation required",,298, ,Inboard,Diesel,114,27.5,7,2.5,,2009,TIAN SAN SHIPPING PTE LTD
SR,GC 8,2378,YANMAR,6HAJM WDT,"Up to B100, without modification",,298,Motor,Inboard,Diesel,126,26.9,7,2.5,,2016,TIAN SAN SHIPPING PTE LTD
SC,GEMINI 9,77803,ISUZU,,,Not Conclusive,343,Motor,Inboard,Diesel,21,14,3.5,1.5,,1992,CHONG CHOON SEN
SC,GENOA,D9175008028,SHANGHAI DIESEL,D683ZLCA8B,Up to B30,,165,Motor,Inboard,Gas Oil,14,14.9,4.5,0.7,,2020,FRATELLI COSULICH BUNKERS
SR,GEOLAB SAMUDRA 10,,,,,Not Conclusive,,,,,35,9,9,1.5,,2017,GEONAMICS (S) PTE LTD
SR,GEOMETRA SURVEYORS,D1968006842,SHANGHAI DIESEL,,Up to B30,,184, ,Inboard,Diesel,33,14.8,4.4,1.8,,1980,GEOMETRA INTERNATIONAL (PRIVATE) LIMITED
ST,GLADIATOR,3508B DITA,CATERPILLAR,,"Up to B100, dealer consultation required",,1490,Motor,Inboard,Diesel,197,24.3,8,3.7,,2005,QSA MARINE AND LOGISTICS PTE LTD
,GLOBALONE 23,,,,,Not Conclusive,,,,,1121,58.6,18.3,3.7,,2007,GLOBAL OFFSHORE & MARINE PTE LTD
SB,GLORY,P:41044852,CUMMINS,,Up to B20,,339, ,Inboard,Diesel,479,43,9.5,4.5,599,2001,GLORY TANKERS PTE LTD
SB,GLOVER,20106115,YANMAR,,"Up to B100, without modification",,2574, ,Inboard,Diesel,5138,110.7,17.6,9,7006,2009,STELLAR SHIP MANAGEMENT SERVICES PTE LTD
ST,GM GLORY,812,YANMAR,,"Up to B100, without modification",,485, ,Inboard,Diesel,152,22,7.4,3.2,,2008,CAPITOL SHIPPING PTE LTD
,GOLDEN ARANDA,0,NINGBO,Zhongce,,Not Conclusive,882,Motor,Inboard,Gas Oil,1602,63.3,12.8,6.5,1988,2010,GOLDEN ARANDA PTE LTD
,GOLDEN BAY 2501,,,,,Not Conclusive,,,,,1705,76,21.3,4.3,,2011,KIM HOCK BEE MARINE PTE LTD
SB,GOLDEN BRISTOL,37248546,CUMMINS,KTA19-DMI,Up to B20,,440,Motor,Inboard,Gas Oil,2714,85.4,15,6.8,3590,2010,GOLDEN BRISTOL PTE LTD
SC,GOLDEN FORTUNE,P:46056508,CUMMINS,,Up to B20,,258, ,Inboard,Diesel,32,15.3,4.8,2.2,,2001,SG SHIPPING PTE LTD
SB,GOLDEN JUBILEE,AQ6K 260077,DIESEL,6DKM-26E,,Not Conclusive,1618,Motor,Inboard,Gas Oil,2608,88,14.2,6.9,3940,2011,GOLDEN BAY SHPG PTE LTD
SB,GOLDEN PIONEER,7076,WARTSILA,W6L23/30,Compatible to BXX when BXX meets Wartsila biofuel specs B100,,956, ,Inboard,Diesel,2834,80.5,15.2,7.2,3630,2007,GOLDEN DENDRO PTE LTD
SR,GOLDEN PRINCESS MTC V,,,,,Not Conclusive,,,,,654,43.2,18,3,,2017,MARINA TECHNOLOGY & CONSTRUCTION PTE
SC,GOLDEN STENA,41229742,CUMMINS,,Up to B20,,289,Motor,Inboard,Diesel,48,19.8,4.5,2.3,,2011,SG SHIPPING PTE LTD
,GOLDFISH,73579609,CUMMINS,QSB 6. 7 M,Up to B20,,313,Motor,Inboard,Diesel,9,10,2.3,1.3,,2022,STE UNMANNED & INTEGRATED SYSTEM
SR,GOM 1,,,,,Not Conclusive,,,,,30,15.3,5.8,1.2,,1993,GLOBAL OFFSHORE & MARINE PTE LTD
,GOODTRANS 1,AQ6K201036,DAIHATSU,6DKM-20eF,"Up to B20. <B20 to B30, Consult OEM",,956,Motor,Inboard,Heavy Fuel Oil,5598,117.7,17.8,8.9,7992,2018,NAUTILUS SHIPPING PTE LTD
SC,GP 1,,,,,Not Conclusive,,,,,288,35.1,12.1,2.4,,1995,SINGAPORT SHIPPING PTE LTD
SP,GP 30,4.00E+13,MAN,,Up to B30,,331, ,Inboard,Diesel,35,13.4,4.1,2.2,,2007,PSA MARINE PTE LTD
SP,GP 31,4.00E+13,MAN,,Up to B30,,331, ,Inboard,Diesel,37,14.5,4.1,2.2,,2008,PSA MARINE PTE LTD
SP,GP 32,4.00E+13,MAN,,Up to B30,,331, ,Inboard,Diesel,37,14.5,4.1,2.2,,2008,PSA MARINE PTE LTD
SP,GP 33,4.00E+13,MAN,,Up to B30,,331,Motor,Inboard,Diesel,39,14.5,4.1,2.3,,2008,PSA MARINE PTE LTD
SP,GP 42,4.00E+13,MAN,,Up to B30,,331,Motor,Inboard,Petrol,42,15,4.5,2.2,,2009,PSA MARINE PTE LTD
SP,GP 43,4.00E+13,MAN,D2876L,Up to B30,,331, ,Inboard,Diesel,42,15,4.5,2.2,,2009,PSA MARINE PTE LTD
SP,GP 44,4.00E+13,MAN,,Up to B30,,331, ,Inboard,Diesel,42,15,4.5,2.2,,2009,PSA MARINE PTE LTD
SP,GP 45,4.00E+13,MAN,,Up to B30,,331, ,Inboard,Diesel,42,15,4.5,2.2,,2009,PSA MARINE PTE LTD
SP,GP 46,4.00E+13,MAN,,Up to B30,,331, ,Inboard,Diesel,42,15,4.5,2.2,,2009,PSA MARINE PTE LTD
SP,GP 47,4.00E+13,MAN,,Up to B30,,331, ,Inboard,Diesel,42,15,4.5,2.2,,2009,PSA MARINE PTE LTD
SP,GP 48,4.00E+13,MAN,,Up to B30,,331, ,Inboard,Diesel,42,15,4.5,2.2,,2009,PSA MARINE PTE LTD
SP,GP 49,4.00E+13,MAN,,Up to B30,,331, ,Inboard,Diesel,42,15,4.5,2.2,,2009,PSA MARINE PTE LTD
SP,GP 50,4.00E+13,MAN,,Up to B30,,331, ,Inboard,Diesel,47,15,5,2.2,,2011,PSA MARINE PTE LTD
SP,GP 51,4.00E+13,MAN,,Up to B30,,331, ,Inboard,Diesel,47,15,5,2.2,,2012,PSA MARINE PTE LTD
SP,GP 52,4.00E+13,MAN,,Up to B30,,331,Motor,Inboard,Diesel,18,15,4.5,0.9,,2012,PSA MARINE PTE LTD
SP,GP 53,P-40021320102129,MAN,,Up to B30,,331,Motor,Inboard,Diesel,18,15,4.5,0.9,,2012,PSA MARINE PTE LTD
SP,GP 54,4.00E+13,MAN,,Up to B30,,331, ,Inboard,Diesel,43,15,4.4,2.3,,2012,PSA MARINE PTE LTD
SP,GP 55,4.00E+13,MAN,,Up to B30,,331,Motor,Inboard,Diesel,43,15,4.4,2.3,,2011,PSA MARINE PTE LTD
SP,GP 56,4.00E+13,MAN,,Up to B30,,331,Motor,Inboard,Diesel,25,15,4.4,1.3,,2011,PSA MARINE PTE LTD
SP,GP 57,4.00E+13,MAN,,Up to B30,,331, ,Inboard,Diesel,43,15,4.4,2.3,,2011,PSA MARINE PTE LTD
SP,GP 58,4.00E+13,MAN,D2876 LE H03,Up to B30,,331,Motor,Inboard,Diesel,49,15,5,2.3,,2014,PSA MARINE PTE LTD
SP,GP 59,4.00E+13,MAN,,Up to B30,,331,Motor,Inboard,Diesel,43,15,4.4,2.3,,2014,PSA MARINE PTE LTD
SP,GP 60,4.00E+13,MAN,,Up to B30,,331,Motor,Inboard,Diesel,64,15,5,3,,2014,PSA MARINE PTE LTD
SP,GP 61,4.00E+13,MAN,,Up to B30,,331,Motor,Inboard,Diesel,43,15,4.4,2.3,,2014,PSA MARINE PTE LTD
SP,GP 80,001Z32906,CATERPILLAR,,"Up to B100, dealer consultation required",,175, ,Inboard,Diesel,24,11.6,3.9,1.8,,1999,TIAN SAN SHIPPING PTE LTD
SP,GP 81,P:1Z32922,CATERPILLAR,,"Up to B100, dealer consultation required",,175, ,Inboard,Diesel,24,11.6,3.9,1.8,,1999,TIAN SAN SHIPPING PTE LTD
SP,GP 82,P:1Z32926,CATERPILLAR,,"Up to B100, dealer consultation required",,175, ,Inboard,Diesel,24,11.6,3.9,1.8,,1999,TIAN SAN SHIPPING PTE LTD
